Duration,AOI,Question
.3,prethodno,T2_B_Q6
3.1,kod,T2_B_Q6
.3,odgovori,T2_B_Q6
1.3,kod,T2_B_Q6
1.5,pitanje,T2_B_Q6
1.1,kod,T2_B_Q6
2.0,pitanje,T2_B_Q6
.3,pitanje-kod,T2_B_Q6
.5,pitanje,T2_B_Q6
.4,pitanje-kod,T2_B_Q6
1.1,pitanje,T2_B_Q6
4.2,kod,T2_B_Q6
1.2,odgovori,T2_B_Q6
2.0,kod,T2_B_Q6
1.1,odgovori,T2_B_Q6
4.4,kod,T2_B_Q6
7.1,odgovori,T2_B_Q6
1.0,kod,T2_B_Q6
3.9,odgovori,T2_B_Q6
1.0,kod,T2_B_Q6
1.4,pitanje,T2_B_Q6
.8,kod,T2_B_Q6
.5,pitanje,T2_B_Q6
3.4,kod,T2_B_Q6
4.3,odgovori,T2_B_Q6
.8,sledece,T2_B_Q6
2.5,kod,T2_B_Q6
.7,prethodno,T2_B_Q6
4.1,odgovori,T2_B_Q6
.4,sledece,T2_B_Q6
