Duration,AOI,Question
12.5,kod,T2_K_Q5
.4,pitanje,T2_K_Q5
9.3,kod,T2_K_Q5
.9,pitanje,T2_K_Q5
.6,prazno,T2_K_Q5
.6,pitanje,T2_K_Q5
5.4,kod,T2_K_Q5
.4,odgovori,T2_K_Q5
1.8,kod,T2_K_Q5
1.6,odgovori,T2_K_Q5
3.2,kod,T2_K_Q5
.4,odgovori,T2_K_Q5
1.2,kod,T2_K_Q5
2.6,odgovori,T2_K_Q5
6.7,kod,T2_K_Q5
5.2,odgovori,T2_K_Q5
7.7,kod,T2_K_Q5
1.2,odgovori,T2_K_Q5
3.3,kod,T2_K_Q5
4.2,odgovori,T2_K_Q5
5.3,kod,T2_K_Q5
1.9,odgovori,T2_K_Q5
.6,kod,T2_K_Q5
1.7,odgovori,T2_K_Q5
1.0,sledece,T2_K_Q5
15.6,kod,T2_K_Q5
1.0,odgovori,T2_K_Q5
7.6,kod,T2_K_Q5
.2,pitanje-kod,T2_K_Q5
1.0,kod,T2_K_Q5
.5,pitanje,T2_K_Q5
.6,kod,T2_K_Q5
.2,pitanje,T2_K_Q5
1.0,kod,T2_K_Q5
1.5,odgovori,T2_K_Q5
.9,sledece,T2_K_Q5
