cluster	gene
1	T1_B_Q1
1	T1_B_Q4
1	T1_K_Q2
1	T1_K_Q4
2	T1_F_Q3
2	T2_B_Q2
2	T2_B_Q5
2	T2_B_Q8
2	T2_B_Q9
2	T2_B_Q12
2	T2_B_Q14
2	T2_B_Q17
2	T2_B_Q19
2	T2_B_Q22
2	T2_K_Q3
2	T2_K_Q5
2	T2_K_Q10
2	T2_K_Q12
2	T2_K_Q14
2	T2_K_Q15
2	T2_K_Q16
2	T2_K_Q17
2	T2_K_Q18
2	T2_K_Q20
2	T2_S_Q1
2	T2_S_Q2
2	T2_S_Q5
2	T2_S_Q9
2	T2_S_Q10
2	T2_S_Q11
2	T2_S_Q12
2	T2_S_Q14
2	T2_S_Q16
2	T2_S_Q21
2	T2_S_Q22
2	T2_S_Q23
2	T2_S_Q25
2	T2_S_Q28
3	T1_B_Q2
3	T1_B_Q3
3	T1_F_Q4
3	T1_S_Q2
3	T2_B_Q1
3	T2_B_Q3
3	T2_B_Q10
3	T2_B_Q11
3	T2_B_Q13
3	T2_B_Q15
3	T2_B_Q16
3	T2_B_Q20
3	T2_B_Q21
3	T2_B_Q25
3	T2_B_Q26
3	T2_B_Q27
3	T2_B_Q28
3	T2_B_Q30
3	T2_K_Q4
3	T2_K_Q13
3	T2_K_Q19
3	T2_K_Q24
3	T2_K_Q25
3	T2_K_Q26
3	T2_K_Q28
3	T2_S_Q3
3	T2_S_Q15
3	T2_S_Q19
3	T2_S_Q27
3	T2_S_Q30
4	T1_F_Q5
4	T2_K_Q7
4	T2_S_Q6
4	T2_S_Q7
4	T2_S_Q8
4	T2_S_Q17
4	T2_S_Q18
5	T1_F_Q1
5	T1_F_Q2
5	T1_K_Q1
5	T1_M_Q2
5	T1_S_Q3
5	T1_S_Q4
5	T2_B_Q4
5	T2_B_Q18
5	T2_B_Q23
5	T2_K_Q11
5	T2_K_Q21
5	T2_K_Q23
5	T2_K_Q29
5	T2_K_Q30
5	T2_S_Q4
5	T2_S_Q13
5	T2_S_Q20
5	T2_S_Q24
5	T2_S_Q26
5	T2_S_Q29
6	T1_S_Q1
6	T2_K_Q27
7	T1_B_Q5
7	T1_K_Q3
7	T1_K_Q5
7	T1_S_Q5
7	T2_B_Q7
8	T1_M_Q3
8	T1_M_Q4
8	T1_M_Q5
8	T2_B_Q6
8	T2_K_Q6
8	T2_K_Q22
9	T1_M_Q1
9	T2_K_Q1
9	T2_K_Q2
9	T2_K_Q8
10	T2_B_Q24
11	T2_B_Q29
12	T2_K_Q9
